Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama
ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan
ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pengembangan
ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus
AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan
ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Pengembangan
AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pengembangan
ARII,Atlas Resources Tbk.,08 Nov 2011,3.750.000.000,Pengembangan
ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama
ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan
ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus
ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.277.992.036,Pengembangan
ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama
ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.315.361.355,Pengembangan
AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,Utama
BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan
BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama
BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama
BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan
BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,Pemantauan Khusus
BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,Utama
BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama
BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama
BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,185.819.884.852,Pengembangan
BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Pengembangan
BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama
BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama
BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,8.479.490.328,Pengembangan
BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama
BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama
BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama
